Easting,Northing
327364.92493200896,4158353.825771962
327364.4953518879,4158355.2667164966
327363.2138734696,4158356.114834734
327361.7687720435,4158356.7443398032
327360.3141446669,4158357.34074075
327358.8409267847,4158357.89312529
327357.2742939003,4158358.203234679
327355.7876262799,4158358.5338826436
327354.27284185763,4158358.787409844
327352.64974459633,4158358.9321820023
327351.11544627516,4158359.0973089496
327349.5281456456,4158359.263538764
327347.9936165883,4158359.41757025
327346.41584226507,4158359.6169050303
327344.9082761334,4158359.7925778786
327343.3254235807,4158359.7478002724
327341.7221335143,4158359.570237976
327340.21370595944,4158359.2796940343
327338.67669955106,4158358.8898372855
327337.23409387004,4158358.364806738
327335.788948715,4158357.717719946
327334.354483819,4158357.159217973
327332.8756192278,4158356.590539105
327331.4295499956,4158355.8990688683
327330.000224568,4158355.16284713
327328.66015960276,4158354.469171954
327327.2059484561,4158353.811174351
327325.84752298635,4158353.0845790524
327324.4205051324,4158352.4593186923
327323.04579687555,4158351.799667687
327321.651112302,4158351.0294240396
327320.30758296524,4158350.1693094936
327318.9480019307,4158349.387235062
327317.6407304584,4158348.570769928
327316.3058031619,4158347.699376162
327315.093393584,4158346.7699291827
327313.94097294076,4158345.750427403
327312.763897778,4158344.8202455435
327311.6014884615,4158343.745447651
327310.54392939486,4158342.612964035
327309.44988067483,4158341.4257355435
327308.46068221517,4158340.180821283
327307.45358508837,4158338.9251787034
327306.5601720066,4158337.611666501
327305.8157780111,4158336.2395494073
327305.08882040787,4158334.8559687077
327304.37837566336,4158333.416540221
327303.76602554333,4158332.0194740463
327303.03999081324,4158330.6802776903
327302.35673933965,4158329.2735860585
327301.79692940664,4158327.853225049
327301.2096944617,4158326.3890313357
327300.5608538729,4158324.9372204053
327299.9124748523,4158323.5076016095
327299.1764506311,4158322.113109151
327298.511788992,4158320.750434356
327297.7936627482,4158319.3666704204
327297.0318292107,4158318.0060177213
327296.218839949,4158316.7352363546
327295.36889909365,4158315.387518026
327294.5108168885,4158314.073271734
327293.6018098297,4158312.8599928515
327292.4903183186,4158311.6842301125
327291.37322530895,4158310.6639959607
327290.0896756125,4158309.713830894
327288.7656511606,4158308.9421218634
327287.23492650304,4158308.430033936
327285.736475662,4158308.194795914
327284.2238207904,4158308.126366495
327282.646037482,4158308.325713093
327281.12818431715,4158308.8568383316
327279.65704029973,4158309.50910117
327278.34675188083,4158310.246823562
327277.1380227094,4158311.1933487975
327275.9286010531,4158312.1065860856
327274.8186604245,4158313.1287617544
327273.6915143655,4158314.1734973597
327272.5650613664,4158315.2515212656
327271.4732509763,4158316.29552182
327270.28473122173,4158317.363736928
327269.23778304504,4158318.4401067044
327268.21872204245,4158319.582501348
327267.1192336737,4158320.682166596
327266.0553116024,4158321.792192644
327264.97418415936,4158322.9247786338
327263.9184036235,4158324.0013329904
327262.7754404133,4158325.1352062654
327261.7194295113,4158326.200664879
327260.6036610219,4158327.3672750457
327259.5229969504,4158328.5220538997
327258.3444689909,4158329.645567221
327257.22754671646,4158330.7566976547
327256.182680495,4158331.932933628
327255.0924910429,4158333.0546088316
327254.02020035253,4158334.1870125076
327252.94952662516,4158335.397088656
327251.83329872874,4158336.5415080125
327250.8137804968,4158337.6617128938
327249.6768832605,4158338.662251703
327248.5853098382,4158339.7173515577
327247.49350573495,4158340.7613555216
327246.5202360143,4158341.980506034
327245.43189692684,4158343.190950984
327244.3054516021,4158344.2689790362
327243.2141105799,4158345.3351757023
327242.0797559678,4158346.45777214
327241.025829218,4158347.6230980232
327239.9098356145,4158348.778615167
327238.93518215325,4158349.9311903752
327237.8817182459,4158351.118708788
327236.91682299017,4158352.3154845615
327235.8445373303,4158353.4478907916
327234.72785231733,4158354.5701205535
327233.5093769418,4158355.4724523015
327232.18489703344,4158356.3769908994
327230.83114441007,4158357.14892883
327229.47693006205,4158357.898674897
327228.1055104619,4158358.670981073
327229.4630205553,4158359.3531764676
327230.8712229504,4158359.92330827
327232.2305804511,4158360.694272478
327233.52879454865,4158361.499812248
327234.71494169696,4158362.4408952887
327235.8059964004,4158363.483865642
327236.99399081664,4158364.5137173655
327238.25173082144,4158365.4977140045
327239.48343130655,4158366.50445456
327240.60029313015,4158367.513585728
327241.81224686245,4158368.4208299527
327243.03234114265,4158369.2946023312
327244.29614181333,4158370.1452634074
327245.4911202162,4158371.086164035
327246.62587908405,4158372.106024271
327247.674148236,4158373.216491748
327248.72449576354,4158374.4268237697
327249.74857281777,4158375.6488035717
327250.87726834393,4158376.802000783
327252.0120257855,4158377.821861711
327253.2358128928,4158378.873172258
327254.56866403157,4158379.644691561
327255.9884662628,4158380.347796153
327257.4761664892,4158380.9162775213
327259.02062157285,4158381.239359103
327260.5748917692,4158381.1848076726
327262.0882266584,4158381.286520469
327263.6259262222,4158381.7096511726
327265.1285217381,4158382.1446136194
327266.6278839538,4158382.4242316848
327268.21604495554,4158382.7242036005
327269.7856146839,4158382.980159329
327271.268001938,4158383.2934340574
327272.81153218774,4158383.572133988
327274.29438104935,4158383.907601343
327275.80234532326,4158384.175941152
327277.2956440939,4158384.5888975146
327278.7731226779,4158385.0909901923
327280.21503535315,4158385.5827224324
327281.7008854222,4158386.0624396857
327283.0921047024,4158386.6662358944
327284.4086696972,4158387.504703803
327285.6468857194,4158388.400306635
327286.9718220475,4158389.2163990084
327288.3641949322,4158389.875676302
327289.7886696556,4158390.378873864
327291.24963349954,4158390.936816588
327292.7513020454,4158391.3273997465
327294.30366357166,4158391.605919771
327295.84649858956,4158391.8513357663
327297.41468008875,4158392.0407203548
327298.9796289637,4158392.074760596
327300.56339965947,4158392.163913726
327302.0818710918,4158392.087913177
327303.59757186746,4158391.8787603565
327305.0870025132,4158391.681255298
327306.51696627314,4158391.1741640926
327307.86350193806,4158390.4800946442
327309.13659768656,4158389.654343337
327310.56517673424,4158389.080676577
327311.9856149068,4158388.5404820116
327313.2908138635,4158387.558651512
327314.2743060282,4158386.4059013724
327314.88147303404,4158385.0056619644
327315.28269467654,4158383.476497484
327315.45424022677,4158381.9521118444
327315.68762179103,4158380.426439612
327316.9330644009,4158379.5457607685
327318.5175296944,4158379.668205535
327320.0648739615,4158379.2807839056
327321.5536753832,4158378.628160249
327321.9651175224,4158377.1653886368
327321.9688240473,4158375.644495272
327321.8228192486,4158374.1489184904
327321.61474757054,4158372.643532225
327321.5638357718,4158371.0460693147
327321.7535120584,4158369.543508386
327322.0750015965,4158368.0049024355
327322.21958604595,4158366.458876314
327322.5952324634,4158364.974647866
327322.76516396215,4158363.372590166
327322.8648874848,4158361.7941949014
327322.7363193857,4158360.287154502
327323.4762267869,4158358.8952550595
327324.4046439014,4158357.6437446806
327325.14253525983,4158355.7301475136
327325.5654137874,4158353.967415404
327325.9996656727,4158352.32655603
327326.937841116,4158351.1192463767
327327.84559111996,4158349.723855438
327329.43474019517,4158349.646389888
327330.9509723566,4158349.037600982
327332.49249016587,4158348.7946142685
327334.0012123991,4158348.6744194534
327335.60288889543,4158348.7743080226
327337.0866640563,4158349.154170881
327338.6371846885,4158349.343931046
327340.02234155126,4158350.0810731393
327341.31962249026,4158350.842245264
